movie_trailer,video_id,video_title,channel_name,channel_id,comment_count,view_count,like_count,date_published
Matilda Official Trailer,hUGHWje7liM,Matilda - Movie Trailer,DvdAmnesty,UCEwa9Zw0wOhdSTm0n-qetNA,519,3407831,8302,2010-10-21T08:47:21.000Z
Posledniy bogatyr Official Trailer,IXbVuRoybr8,The Last Warrior Trailer (2017) Russian Fantasy Movie,New Trailer Buzz,UCDHv5A6lFccm37oTZ5Mp7NA,342,1205941,4532,2017-09-14T14:56:20.000Z
Perfectos Desconocidos Official Trailer,XIc-4AwGKgM,Perfectos Desconocidos I Perfect Strangers,PantelionFilms,UCgjmWh5oYANz07cIRitbuQQ,577,564956,2251,2018-11-13T17:00:14.000Z
Utya 22. juli Official Trailer,ZVpUZGmHJB8,22 JULY | Official Trailer [HD] | Netflix,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,2551,2224047,10774,2018-09-04T13:00:05.000Z
The Islands Official Trailer,_ZyNJ3cKfEg,The Island - Official® Trailer [HD],TrailersPlaygroundHD,UCeR7qki1ikig6q4HwvP6dTg,207,699500,1942,2013-11-28T15:02:39.000Z
The Thousand Miles Official Trailer,O6ngd5E1MJE,"《一万公里的约定》10,000 MILES Official Trailer | In Cinemas 16.12.2016",SGCloverFilms,UCm4hPh9CUfqaZVOeZYr8AAw,1,39227,72,2016-11-29T07:49:57.000Z
Phantom Thread Official Trailer,xNsiQMeSvMk,PHANTOM THREAD - Official Trailer [HD] - In Select Theaters Christmas,Focus Features,UCU4SM3j_9TNWaSu8KdGV50g,1954,10574917,26765,2017-10-23T14:00:13.000Z
Mollys Game Official Trailer,Vu4UPet8Nyc,"Molly's Game | Official Trailer | Own it Now on Digital HD, Blu-ray™ & DVD",STX Entertainment,UCtlp8d4cZg2eMrVbq7vxg9w,1251,8319089,14953,2017-08-15T14:00:08.000Z
The Post Official Trailer,nrXlY6gzTTM,The Post | Official Trailer [HD] | 20th Century FOX,20th Century Fox,UC2-BeLxzUBSs0uSrmzWhJuQ,2950,17308576,20052,2017-11-08T05:31:00.000Z
Pitch Perfect 3 Official Trailer,aVsOXRgjeeU,Pitch Perfect 3 - Official Trailer 2 [HD],Pitch Perfect,UCgdSNWjdqg-bE5i9YDD4GLw,5497,13300047,116481,2017-09-25T15:00:12.000Z
