movie_trailer,video_id,video_title,channel_name,channel_id,comment_count,view_count,like_count,date_published
On the Basis of Sex Official Trailer,28dHbIR_NB4,ON THE BASIS OF SEX - Official Trailer [HD] - In Theaters This Christmas,Focus Features,UCU4SM3j_9TNWaSu8KdGV50g,2251,8111048,28827,2018-07-16T15:00:04.000Z
Holmes and Watson Official Trailer,brjkpRBpFnc,HOLMES AND WATSON - Official Trailer (HD),Sony Pictures Entertainment,UCz97F7dMxBNOfGYu3rx8aCw,8513,9765821,62434,2018-09-28T21:45:33.000Z
Destroyer Official Trailer,z1ScbX-TP0w,"DESTROYER Official Trailer (2018) Nicole Kidman, Toby Kebbell Movie HD",Rapid Trailer,UC1cVTv6C0Unv6TtadjBvYRA,95,129496,661,2018-10-17T13:28:18.000Z
Vice Official Trailer,aSGFt6w0wok,Vice Trailer #1 (2018) | Movieclips Trailers,Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,1631,2453119,13255,2018-10-03T13:48:32.000Z
Aquaman Official Trailer,WDkg3h8PCVU,Aquaman - Official Trailer 1 - Now Playing In Theaters,Warner Bros. Pictures,UCjmJDM5pRKbUlVIzDYYWb6g,94633,59057688,648092,2018-07-21T19:24:00.000Z
Welcome to Marwen Official Trailer,W6dy7xQ8NeE,Welcome to Marwen - Official Trailer,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,9197,4773419,69748,2018-06-20T14:59:10.000Z
Second Act Official Trailer,YsVo5necW6Q,"Second Act | Official Trailer [HD] | Own It Now On Digital HD, Blu-Ray & DVD",STX Entertainment,UCtlp8d4cZg2eMrVbq7vxg9w,570,5927332,12798,2018-07-19T13:30:03.000Z
Bumblebee Official Trailer,lcwmDAYt22k,Bumblebee (2018) - New Official Trailer - Paramount Pictures,Paramount Pictures,UCF9imwPMSGz4Vq1NiTWCC7g,23010,20725596,168304,2018-09-24T07:00:04.000Z
Mary Poppins Returns Official Trailer,-3jsfXDZLIY,Mary Poppins Returns | Official Trailer,Walt Disney Studios,UCuaFvcY4MhZY3U43mMt1dYQ,20728,15694742,178817,2018-09-17T12:48:27.000Z
Spider-Man: Into The Spider-Verse 3D Official Trailer,tg52up16eq0,SPIDER-MAN: INTO THE SPIDER-VERSE - Official Trailer #2 (HD),Sony Pictures Entertainment,UCz97F7dMxBNOfGYu3rx8aCw,41229,30974356,421167,2018-10-02T13:00:34.000Z
